# Time (s),CG location (m)
0.01,0.729
0.02,0.729
0.03,0.729
0.04,0.728
0.05,0.728
0.058,0.728
0.065,0.727
0.071,0.727
0.077,0.727
0.082,0.727
0.087,0.727
0.091,0.726
0.098,0.726
0.108,0.726
0.124,0.725
0.147,0.724
0.181,0.723
0.214,0.722
0.253,0.721
0.303,0.719
0.337,0.717
0.357,0.717
0.375,0.716
0.392,0.715
0.41,0.715
0.431,0.714
0.464,0.713
0.514,0.711
0.531,0.71
0.548,0.71
0.572,0.709
0.608,0.707
0.635,0.706
0.654,0.706
0.677,0.705
0.711,0.703
0.742,0.702
0.765,0.701
0.799,0.7
0.838,0.699
0.876,0.697
0.926,0.695
0.976,0.694
1.026,0.692
1.076,0.691
1.126,0.69
1.169,0.69
1.219,0.69
1.269,0.69
1.319,0.69
1.369,0.69
1.419,0.69
1.469,0.69
1.519,0.69
1.569,0.69
1.619,0.69
1.669,0.69
1.719,0.69
1.769,0.69
1.819,0.69
1.869,0.69
1.919,0.69
1.969,0.69
2.019,0.69
2.069,0.69
2.119,0.69
2.169,0.69
2.219,0.69
2.269,0.69
2.319,0.69
2.369,0.69
2.419,0.69
2.469,0.69
2.519,0.69
2.569,0.69
2.619,0.69
2.669,0.69
2.719,0.69
2.769,0.69
2.819,0.69
2.869,0.69
2.919,0.69
2.969,0.69
3.019,0.69
3.069,0.69
3.119,0.69
3.169,0.69
3.219,0.69
3.269,0.69
3.319,0.69
3.369,0.69
3.419,0.69
3.469,0.69
3.519,0.69
3.569,0.69
3.619,0.69
3.669,0.69
3.719,0.69
3.769,0.69
3.818,0.69
3.868,0.69
3.918,0.69
3.968,0.69
4.018,0.69
4.068,0.69
4.118,0.69
4.168,0.69
4.218,0.69
4.268,0.69
4.318,0.69
4.368,0.69
4.418,0.69
4.468,0.69
4.518,0.69
4.568,0.69
4.618,0.69
4.668,0.69
4.718,0.69
4.768,0.69
4.818,0.69
4.868,0.69
4.918,0.69
4.968,0.69
5.018,0.69
5.068,0.69
5.118,0.69
5.168,0.69
5.218,0.69
5.268,0.69
5.318,0.69
5.368,0.69
5.418,0.69
5.468,0.69
5.518,0.69
5.568,0.69
5.618,0.69
5.668,0.69
5.718,0.69
5.768,0.69
5.818,0.69
5.868,0.69
5.918,0.69
5.968,0.69
6.018,0.69
6.068,0.69
6.118,0.69
6.168,0.69
6.218,0.69
6.268,0.69
6.318,0.69
6.368,0.69
6.418,0.69
6.468,0.69
6.518,0.69
6.568,0.69
6.618,0.69
6.668,0.69
6.718,0.69
6.768,0.69
6.818,0.69
6.868,0.69
6.918,0.69
6.968,0.69
7.018,0.69
7.068,0.69
7.118,0.69
7.168,0.69
7.218,0.69
7.268,0.69
7.318,0.69
7.368,0.69
7.418,0.69
7.468,0.69
7.518,0.69
7.568,0.69
7.618,0.69
7.668,0.69
7.718,0.69
7.768,0.69
7.818,0.69
7.868,0.69
7.918,0.69
7.968,0.69
8.018,0.69
8.068,0.69
8.118,0.69
8.168,0.69
8.218,0.69
8.268,0.69
8.318,0.69
8.368,0.69
8.418,0.69
8.468,0.69
8.518,0.69
8.568,0.69
8.618,0.69
8.668,0.69
8.718,0.69
8.768,0.69
8.818,0.69
8.868,0.69
8.918,0.69
8.968,0.69
9.018,0.69
9.068,0.69
9.118,0.69
9.168,0.69
9.218,0.69
9.268,0.69
9.318,0.69
9.368,0.69
9.418,0.69
9.468,0.69
9.518,0.69
9.568,0.69
9.618,0.69
9.668,0.69
9.718,0.69
9.768,0.69
9.818,0.69
9.868,0.69
9.918,0.69
9.968,0.69
10.018,0.69
10.068,0.69
10.118,0.69
10.168,0.69
10.218,0.69
10.268,0.69
10.318,0.69
10.368,0.69
10.418,0.69
10.468,0.69
10.518,0.69
10.568,0.69
10.618,0.69
10.668,0.69
10.718,0.69
10.768,0.69
10.818,0.69
10.868,0.69
10.918,0.69
10.968,0.69
11.018,0.69
11.068,0.69
11.118,0.69
11.168,0.69
11.171,0.69
11.172,NaN
11.399,NaN
11.619,NaN
11.878,NaN
12.193,NaN
12.608,NaN
13.108,NaN
13.608,NaN
14.108,NaN
14.608,NaN
15.108,NaN
15.608,NaN
16.108,NaN
16.608,NaN
17.108,NaN
17.608,NaN
18.108,NaN
18.608,NaN
19.108,NaN
19.608,NaN
20.108,NaN
20.608,NaN
21.108,NaN
21.608,NaN
22.108,NaN
22.608,NaN
23.108,NaN
23.608,NaN
24.108,NaN
24.608,NaN
25.108,NaN
25.608,NaN
26.108,NaN
26.608,NaN
27.108,NaN
27.608,NaN
28.108,NaN
28.608,NaN
29.108,NaN
29.608,NaN
30.108,NaN
30.608,NaN
31.108,NaN
31.608,NaN
32.108,NaN
32.608,NaN
33.108,NaN
33.608,NaN
34.108,NaN
34.608,NaN
35.108,NaN
35.608,NaN
36.108,NaN
36.608,NaN
37.108,NaN
37.608,NaN
38.108,NaN
38.608,NaN
39.108,NaN
39.608,NaN
40.108,NaN
40.608,NaN
41.108,NaN
41.608,NaN
42.108,NaN
42.608,NaN
43.108,NaN
43.608,NaN
44.108,NaN
44.608,NaN
45.108,NaN
45.608,NaN
46.108,NaN
46.608,NaN
47.108,NaN
47.608,NaN
48.108,NaN
48.608,NaN
49.108,NaN
49.608,NaN
50.108,NaN
50.608,NaN
51.108,NaN
51.608,NaN
52.108,NaN
52.608,NaN
53.108,NaN
53.608,NaN
54.108,NaN
54.608,NaN
55.108,NaN
55.608,NaN
56.108,NaN
56.608,NaN
57.108,NaN
57.608,NaN
57.808,NaN
